,AUC,Recall@1,Recall@3,Recall@8,MRR,MRR - 1,Recall@8 - 1,Recall@1 - 1,Recall@3 - 1,AUC - 1,MRR - 5,Recall@8 - 5,Recall@1 - 5,Recall@3 - 5,AUC - 5,MRR - 10,Recall@8 - 10,Recall@1 - 10,Recall@3 - 10,AUC - 10,MRR - 20,Recall@8 - 20,Recall@1 - 20,Recall@3 - 20,AUC - 20,MRR - 50,Recall@8 - 50,Recall@1 - 50,Recall@3 - 50,AUC - 50,MRR - 100,Recall@8 - 100,Recall@1 - 100,Recall@3 - 100,AUC - 100
semantics,,,,,,42.8 \small{(15.0)},89.5 \small{(15.6)},18.7 \small{(19.0)},57.3 \small{(23.6)},62.8 \small{(11.1)},49.2 \small{(12.4)},88.6 \small{(14.4)},29.6 \small{(15.9)},60.5 \small{(20.8)},66.6 \small{(8.3)},48.6 \small{(11.1)},91.2 \small{(12.6)},28.6 \small{(13.1)},60.8 \small{(19.4)},66.8 \small{(7.9)},47.8 \small{(14.9)},90.5 \small{(13.0)},27.3 \small{(18.1)},58.2 \small{(20.5)},66.1 \small{(9.6)},48.2 \small{(14.5)},91.3 \small{(12.4)},27.1 \small{(16.1)},59.8 \small{(20.4)},68.0 \small{(9.7)},48.9 \small{(16.3)},91.2 \small{(12.6)},28.9 \small{(19.6)},59.4 \small{(20.5)},67.9 \small{(10.7)}
stel,,,,,,36.3 \small{(16.8)},86.8 \small{(20.8)},16.8 \small{(19.8)},39.6 \small{(23.0)},53.9 \small{(13.0)},38.3 \small{(16.7)},85.1 \small{(18.8)},17.7 \small{(19.2)},44.4 \small{(21.6)},55.8 \small{(12.5)},40.9 \small{(16.8)},85.4 \small{(15.9)},20.4 \small{(19.8)},48.6 \small{(21.9)},58.7 \small{(12.0)},42.6 \small{(15.2)},85.7 \small{(16.2)},22.3 \small{(14.8)},49.0 \small{(22.2)},60.4 \small{(10.4)},42.4 \small{(12.4)},86.4 \small{(16.1)},22.8 \small{(14.1)},49.9 \small{(22.9)},59.8 \small{(7.5)},41.5 \small{(12.7)},86.4 \small{(16.2)},21.5 \small{(14.6)},47.3 \small{(19.8)},58.6 \small{(9.4)}
emotions,,,,,,37.7 \small{(12.7)},87.1 \small{(17.8)},17.6 \small{(12.0)},42.0 \small{(21.5)},55.5 \small{(8.6)},35.5 \small{(12.6)},89.5 \small{(17.2)},14.8 \small{(13.9)},42.3 \small{(24.7)},54.0 \small{(11.2)},35.6 \small{(11.5)},87.7 \small{(18.3)},14.7 \small{(11.6)},41.0 \small{(20.5)},54.3 \small{(8.8)},36.3 \small{(13.0)},87.5 \small{(18.6)},14.7 \small{(14.0)},44.8 \small{(22.0)},54.9 \small{(12.7)},37.6 \small{(13.7)},87.9 \small{(18.1)},15.7 \small{(14.0)},44.9 \small{(22.7)},56.3 \small{(12.1)},38.1 \small{(13.9)},86.9 \small{(19.2)},17.4 \small{(15.1)},43.3 \small{(18.5)},56.2 \small{(10.5)}
luar,,,,,,45.3 \small{(16.9)},89.5 \small{(18.3)},27.1 \small{(18.8)},50.6 \small{(21.5)},61.4 \small{(10.9)},48.3 \small{(16.4)},89.0 \small{(15.5)},27.0 \small{(20.5)},60.2 \small{(23.2)},66.4 \small{(11.6)},50.4 \small{(15.9)},89.7 \small{(15.4)},29.2 \small{(18.2)},63.4 \small{(21.7)},67.3 \small{(12.4)},52.7 \small{(15.7)},88.5 \small{(15.1)},34.1 \small{(17.8)},64.1 \small{(20.7)},68.5 \small{(11.8)},54.0 \small{(14.0)},89.0 \small{(15.5)},35.3 \small{(17.7)},65.4 \small{(19.7)},69.0 \small{(10.9)},55.0 \small{(13.9)},89.0 \small{(15.5)},37.1 \small{(17.6)},66.4 \small{(19.0)},69.3 \small{(11.0)}
