,AUC,AUC (Major),AUC (Intermediate)
semantics,55.1 \small{(2.5)},53.1 \small{(3.6)},59.6 \small{(5.0)}
stel,52.8 \small{(1.9)},52.2 \small{(3.1)},53.6 \small{(3.3)}
emotions,51.7 \small{(1.5)},50.8 \small{(2.7)},53.0 \small{(3.6)}
luar,53.6 \small{(2.4)},52.1 \small{(3.9)},56.6 \small{(4.9)}
