,AUC,MRR,Recall@10,Recall@50,Recall@100
semantics,53.7 \small{(4.2)},2.1 \small{(1.4)},3.2 \small{(2.2)},12.0 \small{(6.8)},21.6 \small{(12.4)}
stel,53.4 \small{(3.6)},1.5 \small{(1.1)},2.5 \small{(2.5)},11.0 \small{(8.8)},19.3 \small{(13.7)}
emotions,51.8 \small{(2.4)},1.3 \small{(0.8)},2.3 \small{(1.7)},9.9 \small{(7.1)},18.8 \small{(12.9)}
luar,53.8 \small{(3.7)},1.4 \small{(0.9)},2.5 \small{(2.1)},11.4 \small{(8.5)},20.1 \small{(13.4)}
