,AUC,Recall@1,Recall@3,Recall@8,MRR
semantics,59.8 \small{(16.9)},18.3 \small{(23.2)},39.6 \small{(30.6)},84.1 \small{(24.3)},37.4 \small{(20.1)}
stel,54.8 \small{(20.2)},13.5 \small{(22.2)},39.2 \small{(34.4)},81.6 \small{(24.2)},33.3 \small{(20.3)}
emotions,56.2 \small{(14.6)},12.9 \small{(17.5)},34.6 \small{(28.8)},84.4 \small{(17.7)},32.6 \small{(16.6)}
luar,77.6 \small{(14.7)},41.0 \small{(29.7)},69.2 \small{(22.8)},91.5 \small{(13.4)},59.1 \small{(22.2)}
