,AUC,AUC (Major),AUC (Intermediate)
semantics,54.5 \small{(5.0)},51.7 \small{(4.0)},62.2 \small{(11.1)}
stel,52.0 \small{(3.7)},50.7 \small{(3.9)},54.4 \small{(13.3)}
emotions,52.0 \small{(3.4)},50.6 \small{(3.3)},54.8 \small{(8.0)}
luar,52.9 \small{(4.5)},50.7 \small{(4.4)},58.9 \small{(9.0)}
