,AUC,MRR,Recall@10,Recall@50,Recall@100
semantics,55.0 \small{(2.9)},2.3 \small{(1.3)},4.2 \small{(2.8)},13.0 \small{(7.0)},21.9 \small{(11.5)}
stel,52.9 \small{(2.5)},1.4 \small{(0.8)},2.3 \small{(1.5)},10.0 \small{(6.4)},18.6 \small{(11.7)}
emotions,52.0 \small{(1.8)},1.3 \small{(0.9)},2.1 \small{(1.6)},9.3 \small{(5.9)},18.1 \small{(11.7)}
luar,53.6 \small{(2.9)},1.5 \small{(0.8)},2.5 \small{(1.7)},10.7 \small{(7.1)},19.7 \small{(11.7)}
