,AUC,Recall@1,Recall@3,Recall@8,MRR
semantics,65.7 \small{(12.7)},21.3 \small{(16.1)},47.6 \small{(21.8)},89.7 \small{(10.4)},41.3 \small{(15.2)}
stel,57.8 \small{(10.6)},15.4 \small{(10.7)},37.7 \small{(17.2)},83.4 \small{(19.2)},35.0 \small{(11.2)}
emotions,57.1 \small{(10.6)},13.3 \small{(12.8)},37.4 \small{(21.8)},81.0 \small{(19.3)},33.3 \small{(14.1)}
luar,81.8 \small{(7.0)},50.7 \small{(12.7)},77.4 \small{(12.0)},93.5 \small{(8.1)},66.4 \small{(10.0)}
