,AUC,AUC (Major),AUC (Intermediate),Recall@1,Recall@3,Recall@8,MRR
semantics,67.3 \small{(11.6)},62.9 \small{(15.6)},75.6 \small{(12.8)},22.7 \small{(16.3)},50.5 \small{(20.7)},89.9 \small{(10.5)},43.0 \small{(14.9)}
stel,58.1 \small{(8.3)},55.4 \small{(14.6)},62.2 \small{(11.1)},15.6 \small{(9.2)},38.9 \small{(14.8)},83.8 \small{(17.2)},35.3 \small{(9.9)}
emotions,56.0 \small{(8.0)},53.1 \small{(15.1)},59.5 \small{(10.0)},10.8 \small{(9.7)},37.5 \small{(19.0)},81.7 \small{(18.3)},31.9 \small{(11.6)}
luar,81.6 \small{(6.2)},91.2 \small{(4.3)},63.0 \small{(12.7)},48.6 \small{(12.9)},75.6 \small{(12.7)},93.7 \small{(7.1)},64.6 \small{(10.4)}
